Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	38.36	1.0000	0.9990	18	0	18	26	0	26	69699278	     0	69699278	10K(304.2072), 14K(304.2072), 23K(304.2072), 2K(304.2072), 3M(15.9949), 40K(304.2072), 5M(15.9949), 6K(304.2072), 7K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)		sp|P35527|K1C9_HUMAN	925259.1826	1007275.4653	401714.5494	171812.4415	816375.3933	2377387.0242	134314.5770	235483.3156	618808.8102	414915.9397	782566.1152	7501948.4053	407707.6689	909297.0227	976288.1565	228535.4811	428440.8604	1142655.0095
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal	1:Experimental evidence at protein level	35.05	1.0000	0.9990	19	0	16	19	0	16	14049168	     0	14049168	12K(304.2072), 15K(304.2072), 20K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)		sp|P35908|K22E_HUMAN	1124549.8984	589501.8684	277466.5807	63260.0450	189668.1392	569630.3652	118957.8115	102675.4148	244817.3494	200736.5776	132199.0222	672028.2793	253484.1960	226862.7520	188625.5554	77693.3915	306441.6792	407348.1602
contam_sp|P60712|ACTB_BOVIN	P60712	ACTB_BOVIN	ACTB	375	Bos taurus	Actin, cytoplasmic 1	1:Experimental evidence at protein level	48.80	1.0000	0.9990	23	0	23	57	0	57	307373000	     0	307373000	10K(304.2072), 10M(15.9949), 11K(304.2072), 13M(15.9949), 14K(304.2072), 14M(15.9949), 15M(15.9949), 16C(57.0215), 17K(304.2072), 18K(304.2072), 1C(57.0215), 1K(304.2072), 22K(304.2072), 2K(304.2072), 3K(304.2072), 5M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 8M(15.9949), N-term(304.2072), N-term(42.0106)		sp|P60709|ACTB_HUMAN	4013627.5254	7945295.2100	2174529.4863	702792.5862	3675839.5034	592725.1627	289903.8015	144948.3464	397420.4821	889238.4354	1286336.0496	3105326.8042	5956578.3330	1557298.1011	967141.6246	720659.6595	3954650.7041	2746260.1958
contam_sp|Q86YZ3|HORN_HUMAN	Q86YZ3	HORN_HUMAN	HRNR	2850	Homo sapiens	Hornerin	1:Experimental evidence at protein level	3.89	1.0000	0.9990	2	0	2	2	0	2	1845605	     0	1845605	N-term(304.2072)		sp|Q86YZ3|HORN_HUMAN	57062.5312	62010.5918	17651.6543	5753.2731	18131.2017	47728.7483	4512.0625	4273.1655	17651.0403	8199.0510	7019.3867	57512.3008	11080.3760	18739.5408	19431.2002	4031.3979	8217.3916	20826.6758
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	5:Protein uncertain	14.93	1.0000	0.9990	5	0	5	5	0	5	16215845	     0	16215845	10K(304.2072), 12C(57.0215), 13K(304.2072), N-term(304.2072)		sp|P0DPI2|GAL3A_HUMAN	326970.3760	725021.8555	342209.0918	69848.5315	318819.0635	43608.5352	30661.1488	34150.4191	63407.2983	111887.7168	116169.3252	287264.2676	695308.0508	221618.4307	79409.6047	98354.5439	300500.0684	203976.0117
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	Shootin-1	1:Experimental evidence at protein level	4.12	1.0000	0.9990	2	2	2	2	2	2	550517	550517	550517	14K(304.2072), N-term(304.2072)			29802.8936	55252.3105	24861.4629	8640.0996	31302.9746	3147.5663	3855.7097	3052.8018	5518.0575	25520.9583	10852.8892	24131.0283	42419.9355	9741.8525	6298.4426	5666.4016	25397.4219	16755.8960
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1:Experimental evidence at protein level	25.60	1.0000	0.9990	5	0	5	5	0	5	18879074	     0	18879074	6K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)		sp|Q9GZQ8|MLP3B_HUMAN	348352.9316	1849200.3594	312597.9395	107331.5381	166284.1582	28970.5059	14130.0774	14533.1580	23407.0979	44502.3198	47506.4761	134997.8018	225314.6162	81034.9443	46469.3911	43284.9065	137955.2617	148159.7510
sp|A6NGN9|IGLO5_HUMAN	A6NGN9	IGLO5_HUMAN	IGLON5	336	Homo sapiens	IgLON family member 5	1:Experimental evidence at protein level	8.93	1.0000	0.9990	3	3	3	3	3	3	2089993	2089993	2089993	11K(304.2072), N-term(304.2072)			183690.6094	414741.3438	100852.4414	25443.1953	32379.8652	11617.6625	11740.9363	13599.1265	8293.4219	41003.4651	18722.5518	45447.2493	62421.2207	13247.6271	13832.7445	13080.0867	43908.5942	35562.3796
sp|A6NKN8|PC4L1_HUMAN	A6NKN8	PC4L1_HUMAN	PCP4L1	68	Homo sapiens	Purkinje cell protein 4-like protein 1	3:Protein inferred from homology	32.35	1.0000	0.9990	2	2	2	2	2	2	699241	699241	699241	14K(304.2072), 8K(304.2072), N-term(304.2072)			30063.0083	71505.9766	46698.4492	11443.4172	16928.8931	2857.5479	6857.9045	4409.6748	8047.9553	15447.9131	19060.4385	22183.1665	56317.7012	12029.2405	25389.3311	13590.4526	62530.1445	42040.1875
sp|A8MSI8|LYRM9_HUMAN	A8MSI8	LYRM9_HUMAN	LYRM9	78	Homo sapiens	LYR motif-containing protein 9	3:Protein inferred from homology	64.10	1.0000	0.9990	6	5	6	7	6	7	36916418	36916418	36916418	11K(304.2072), 1C(57.0215), 2C(57.0215), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9M(15.9949), N-term(304.2072)			269844.5144	1849140.0664	552234.2871	133403.1018	106011.8604	18969.2789	29481.6619	22096.5811	25969.4564	70990.6223	71354.4380	85691.6538	202809.5439	42380.1934	92025.8677	60681.4452	116756.0286	110196.7695
sp|B4DS77|SHSA9_HUMAN	B4DS77	SHSA9_HUMAN	SHISA9	424	Homo sapiens	Protein shisa-9	2:Experimental evidence at transcript level	4.48	1.0000	0.9990	2	2	2	2	2	2	1534074	1534074	1534074	11K(304.2072), 3K(304.2072), 8K(304.2072), N-term(304.2072)			41532.9004	238055.9062	59897.3066	19620.7954	14616.3623	4756.3877	2972.8250	5489.8979	6684.1040	12491.8120	13891.4756	18433.0308	44691.9043	8677.4038	10074.9114	6057.1838	18362.8545	17940.2925
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	Kinesin-like protein KIF2A	1:Experimental evidence at protein level	2.69	1.0000	0.9990	2	2	2	2	2	2	1142627	1142627	1142627	11K(304.2072), N-term(304.2072)			55244.7266	96082.7871	38387.2109	10585.4561	56669.4004	8648.7180	3403.4937	3637.7061	5730.9374	21765.8735	22746.3398	62765.0273	68235.0000	24944.2627	11433.0757	10836.4116	51511.0566	27979.6885
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens	Cytosolic acyl coenzyme A thioester hydrolase	1:Experimental evidence at protein level	13.68	1.0000	0.9990	5	4	5	5	4	5	6478960	5215712	6478960	15K(304.2072), 16K(304.2072), 1C(57.0215), 5K(304.2072), N-term(304.2072)			239409.5034	487911.8994	199288.1738	46275.2549	304816.6182	15626.5071	29925.0942	25699.2345	48518.2683	130622.0601	93098.9285	317660.5684	264651.2998	110272.4124	69631.2332	62710.1594	286194.7568	202320.9629
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens	Synaptosomal-associated protein 23	1:Experimental evidence at protein level	23.70	1.0000	0.9990	4	4	4	4	4	4	2340781	2340781	2340781	12C(57.0215), 17K(304.2072), N-term(304.2072), N-term(42.0106)			225256.9189	220451.1191	67368.2056	25564.6959	41769.9861	8755.2689	5936.3287	8144.1578	8584.9512	20471.4272	25908.6284	45169.6396	61287.7660	21712.1351	21222.4292	15979.4492	40727.6318	29921.8452
sp|O00194|RB27B_HUMAN	O00194	RB27B_HUMAN	RAB27B	218	Homo sapiens	Ras-related protein Rab-27B	1:Experimental evidence at protein level	9.17	1.0000	0.9990	2	2	2	2	2	2	922486	922486	922486	11K(304.2072), 5K(304.2072), 9K(304.2072), N-term(304.2072)			23280.1279	99933.6406	39718.9863	7954.9778	45277.9746	3110.5858	5473.8230	3876.7534	5025.3508	14379.0413	15741.5454	32354.2637	100952.3320	9711.0723	10822.5867	5316.1042	25920.8066	22474.8838
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1:Experimental evidence at protein level	26.67	1.0000	0.9990	5	5	5	6	6	6	21436484	21436484	21436484	11K(304.2072), 12K(304.2072), 2C(57.0215), 6C(57.0215), 7K(304.2072), N-term(304.2072)			251074.6758	718526.0684	283296.5405	75240.0543	207367.6614	35909.8940	33744.4135	32412.0995	46104.0813	155916.3813	96872.1140	262836.5171	511015.3013	126711.8726	105599.7189	99399.9806	296777.1006	240002.5884
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens	26S proteasome non-ATPase regulatory subunit 9	1:Experimental evidence at protein level	21.08	1.0000	0.9990	4	4	4	5	5	5	1846476	1846476	1846476	10K(304.2072), 11C(57.0215), 5C(57.0215), N-term(304.2072)			105149.0342	551673.9844	129175.0381	35216.5730	29009.3474	8529.1494	3153.9182	4683.0001	1690.4249	18292.3372	13692.0444	25591.8378	54268.1587	9911.1797	16632.6051	11366.7172	34504.7566	32098.3035
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens	Membrane-associated progesterone receptor component 1	1:Experimental evidence at protein level	46.67	1.0000	0.9990	8	7	8	10	9	10	13971349	13971349	13971349	15K(304.2072), 3M(15.9949), 6C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			338386.6050	1023245.9922	282976.6279	95087.5383	191849.4517	61909.7332	18127.4822	24055.0973	40827.3584	72557.9081	75637.5759	141856.8201	332639.1348	75271.8389	67604.9586	47459.7739	138277.5308	148615.8367
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	Homo sapiens	Pyruvate dehydrogenase protein X component, mitochondrial	1:Experimental evidence at protein level	6.19	1.0000	0.9990	3	3	3	3	3	3	1540104	1540104	1540104	10K(304.2072), 5K(304.2072), N-term(304.2072)			47817.7451	159368.8438	44982.4038	12410.4436	51176.0938	6209.5465	7570.3020	6053.8215	9002.8083	22938.0610	33685.8870	51147.9497	102904.8027	27833.6030	23950.5767	21779.2200	74394.0752	47714.1191
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	Homo sapiens	Dynamin-1-like protein	1:Experimental evidence at protein level	8.83	1.0000	0.9990	6	6	6	6	6	6	1238998	1238998	1238998	10K(304.2072), 12K(304.2072), 3K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			73840.3857	182030.8145	45946.8379	17378.3564	65257.1919	7513.7856	6827.0850	5648.0923	7631.5779	31270.4187	30780.2498	73318.2471	96568.2910	31128.3212	32572.4113	22144.9395	131683.0469	65888.1846
sp|O00451|GFRA2_HUMAN	O00451	GFRA2_HUMAN	GFRA2	464	Homo sapiens	GDNF family receptor alpha-2	1:Experimental evidence at protein level	22.41	1.0000	0.9990	10	10	10	10	10	10	6207830	6207830	6207830	10K(304.2072), 11C(57.0215), 11K(304.2072), 12K(304.2072), 14K(304.2072), 17C(57.0215), 2C(57.0215), 4C(57.0215), 5C(57.0215), 6C(57.0215), 7C(57.0215), 8C(57.0215), 9C(57.0215), 9K(304.2072), N-term(304.2072)			1002212.2949	2170230.2109	483536.9307	122177.7310	86931.4158	24866.6113	29388.6373	21017.8473	18891.6869	58197.4950	55954.7891	104082.8425	120242.8232	31331.4561	47885.5001	26473.6453	131187.1970	88621.8768
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	Homo sapiens	Cytochrome c oxidase subunit NDUFA4	1:Experimental evidence at protein level	40.74	1.0000	0.9990	5	5	5	6	6	6	21062298	21062298	21062298	10K(304.2072), 16K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			228999.2402	685497.4434	547904.4092	68108.0146	233882.2275	32861.7377	28910.9462	33646.0938	58494.8523	113420.8855	113380.5596	254399.8540	550427.5879	96186.5776	101788.3486	108805.5088	339443.1270	309006.4102
sp|O00499|BIN1_HUMAN	O00499	BIN1_HUMAN	BIN1	593	Homo sapiens	Myc box-dependent-interacting protein 1	1:Experimental evidence at protein level	24.96	1.0000	0.9990	17	14	17	21	18	21	17833278	14587144	17833278	10K(304.2072), 12C(57.0215), 12K(304.2072), 13K(304.2072), 18K(304.2072), 19K(304.2072), 1K(304.2072), 3K(304.2072), 5K(304.2072), 6C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			1272412.5908	2999229.6582	992802.8101	293056.9800	1410925.3779	90628.7843	192777.8848	131718.3590	161579.4652	361029.5270	362508.8198	860786.4092	1291107.7646	390064.6680	291239.2731	207674.4146	844309.3379	651641.0366
sp|O14495|PLPP3_HUMAN	O14495	PLPP3_HUMAN	PLPP3	311	Homo sapiens	Phospholipid phosphatase 3	1:Experimental evidence at protein level	10.29	1.0000	0.9985	3	3	3	3	3	3	2090000	2090000	2090000	12K(304.2072), 5K(304.2072), 8K(304.2072), N-term(304.2072), N-term(42.0106)			220993.8027	163039.6250	51095.8916	12546.8770	31957.2153	8213.2585	3783.2184	2971.8806	10503.6191	16430.4785	16835.2349	34804.5254	75026.5215	10625.2649	15756.7358	9504.7200	40446.7041	29005.3589
sp|O14531|DPYL4_HUMAN	O14531	DPYL4_HUMAN	DPYSL4	572	Homo sapiens	Dihydropyrimidinase-related protein 4	1:Experimental evidence at protein level	5.07	1.0000	0.9990	3	3	3	3	3	3	1236189	1236189	1236189	10K(304.2072), 4C(57.0215), N-term(304.2072)			61001.4912	137069.0469	42341.5635	15437.2983	85738.2549	6120.4896	5900.6628	4604.6481	6000.3342	22461.0608	30325.7344	66043.4150	86986.2793	28760.6206	20501.5215	19867.8105	85054.0107	53190.5527
sp|O14548|COX7R_HUMAN	O14548	COX7R_HUMAN	COX7A2L	114	Homo sapiens	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	1:Experimental evidence at protein level	41.23	1.0000	0.9990	6	6	6	6	6	6	7177328	7177328	7177328	13K(304.2072), 2K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			144147.8232	399520.9082	327701.6562	48647.9651	156795.2070	15234.6219	19890.2627	24789.9551	48142.4004	60591.9653	78310.0269	148293.9521	429266.0430	88293.0044	92660.7915	81978.7444	255023.9268	262280.3564
sp|O14576|DC1I1_HUMAN	O14576	DC1I1_HUMAN	DYNC1I1	645	Homo sapiens	Cytoplasmic dynein 1 intermediate chain 1	1:Experimental evidence at protein level	9.61	1.0000	0.9989	5	4	5	5	4	5	2083898	1766980	2083898	12K(304.2072), 13K(304.2072), 17K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			104939.7793	246812.5391	102674.8838	22553.2773	65332.4395	12480.8735	10942.0024	5391.1014	14977.6997	38482.4849	34314.6357	65688.1475	154145.0430	31352.9814	34337.5454	25990.6919	85275.0518	42744.7339
sp|O14594|NCAN_HUMAN	O14594	NCAN_HUMAN	NCAN	1321	Homo sapiens	Neurocan core protein	1:Experimental evidence at protein level	12.79	1.0000	0.9990	19	18	19	20	19	20	7494408	6749961	7494408	10C(57.0215), 12C(57.0215), 14C(57.0215), 1C(57.0215), 3C(57.0215), 5C(57.0215), 7K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			672229.2656	2892738.6523	498200.0259	224548.7688	218037.1367	65088.0326	41684.9192	45166.1001	47488.7679	123454.6128	112963.9568	237963.0796	365831.6890	114441.3328	130355.2642	106597.9565	226353.7732	177804.5417
sp|O14639|ABLM1_HUMAN	O14639	ABLM1_HUMAN	ABLIM1	778	Homo sapiens	Actin-binding LIM protein 1	1:Experimental evidence at protein level	3.47	1.0000	0.9988	3	2	2	3	2	2	3861151	1040166	3861151	N-term(304.2072)			65572.5781	158376.3750	43814.9297	17870.1328	30917.9043	7990.0237	5810.0776	6751.0276	6854.1565	21522.5781	27472.8799	38542.5195	45749.7129	11862.3877	23784.8838	9371.4009	42853.7871	91435.1484
sp|O14653|GOSR2_HUMAN	O14653	GOSR2_HUMAN	GOSR2	212	Homo sapiens	Golgi SNAP receptor complex member 2	1:Experimental evidence at protein level	15.09	1.0000	0.9990	3	3	3	3	3	3	1520943	1520943	1520943	10K(304.2072), 8C(57.0215), N-term(304.2072), N-term(42.0106)			87094.3066	176936.9414	51868.7275	20505.9192	32524.4707	9487.1801	3497.6580	6833.3052	4829.5330	33530.5869	13826.0696	48644.5259	38927.5352	11968.2546	8751.7338	8541.0544	30649.6704	24669.0754
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	Homo sapiens	Disintegrin and metalloproteinase domain-containing protein 10	1:Experimental evidence at protein level	9.89	1.0000	0.9990	7	7	7	7	7	7	2097099	2097099	2097099	10C(57.0215), 1C(57.0215), 1K(304.2072), 4C(57.0215), 7C(57.0215), 7K(304.2072), N-term(304.2072)			368230.0938	327005.0781	88780.9746	22882.6487	50264.6572	8598.1802	3560.3916	2943.1924	7835.7363	22749.2952	24740.4083	40783.2993	79451.8076	18107.8031	15300.4222	11366.8768	51666.6890	30956.9053
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens	Programmed cell death protein 5	1:Experimental evidence at protein level	24.80	1.0000	0.9990	4	4	4	4	4	4	5485607	5485607	5485607	1K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072), N-term(42.0106)			87995.5049	290673.5293	278578.4424	39478.9695	39328.7046	11617.1162	13548.0314	8639.8696	18349.9817	27882.6216	46901.6692	85836.8418	82497.9224	23228.0906	44305.9528	31858.9537	57464.4775	69789.0667
sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	SLC9A3R1	358	Homo sapiens	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1:Experimental evidence at protein level	43.58	1.0000	0.9990	14	14	14	18	18	18	21021920	21021920	21021920	10K(304.2072), 11K(304.2072), 12K(304.2072), 14K(304.2072), 2K(304.2072), 4K(304.2072), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9M(15.9949), N-term(304.2072)			486314.1445	2434510.0078	493328.4727	203804.1841	136162.0237	35229.5381	21653.3386	25344.8717	25084.4603	79487.5968	77276.5778	131372.4077	199041.6157	62275.5339	67901.9033	48545.4033	189875.2061	153611.8528
sp|O14810|CPLX1_HUMAN	O14810	CPLX1_HUMAN	CPLX1	134	Homo sapiens	Complexin-1	1:Experimental evidence at protein level	38.81	1.0000	0.9990	5	2	2	8	5	5	58530868	2170407	58530868	14K(304.2072), 20K(304.2072), 8K(304.2072), 8M(15.9949), N-term(304.2072)			111159.2451	262262.9609	186103.8594	32283.7612	30367.9834	1846.7087	6829.0665	4477.5654	9249.8888	16360.9594	23856.0725	30493.0759	55518.0342	9521.4939	22148.2546	13522.6710	67826.1152	72710.5332
